coach_code,name,gender,function,country_code,disciplines,birth_date
1969466,BADAWI Ghanem,M,Coach,SYR,Artistic Gymnastics,1980-04-01
1970225,van der VEEN Jose,F,Coach,NED,Artistic Gymnastics,1977-05-18
1970227,WEVERS Vincent,M,Coach,NED,Artistic Gymnastics,1962-09-28
1970228,den UIJL Kevin,M,Coach,NED,Artistic Gymnastics,1995-08-22
1970229,JACOBS Jeroen,M,Coach,NED,Artistic Gymnastics,1971-11-21
1970235,KLEUSKENS Marcel,M,Coach,NED,Artistic Gymnastics,1982-04-17
1970236,KNIBBELER Daniel,M,Coach,NED,Artistic Gymnastics,1980-02-10
1970237,van MELDERT Dirk Jan,M,Coach,NED,Artistic Gymnastics,1965-12-03
1970317,CLARIJS Ricardo,M,Assistant Coach,NED,Handball,1990-04-22
1970322,JOHANSSON Per,M,Head Coach,NED,Handball,1970-11-10
1970733,GOUTSEVA Anastasia,F,Coach,GRE,Artistic Swimming,1975-04-29
1970859,SOKOLOVA Natalia,F,Coach,CYP,Rhythmic Gymnastics,1976-06-14
1970880,OGEYINGBO Ayodeji,M,Coach,NGR,Basketball,1994-06-30
1970974,DERAEDT Laurent,M,Goalkeeper Coach,MAR,Football,1973-10-20
1971523,LESZNER Joe,M,Coach,CAN,Archery,
1972037,TICHELMAN Thomas,M,Assistant Coach,NED,Hockey,1960-03-22
1972052,van ASS Paul,M,Head Coach,NED,Hockey,1960-08-16
1972055,DELMEE Jeroen,M,Head Coach,NED,Hockey,1973-03-08
1972056,VERBOOM Eric,M,Assistant Coach,NED,Hockey,1970-02-01
1972359,ALIYEVA Kamilla,F,Coach,AZE,Rhythmic Gymnastics,2006-04-03
1972419,VILYAYEVA Yevgeniya,F,Coach,AZE,Rhythmic Gymnastics,1994-01-08
1972423,VASILEVA Siyana,F,Coach,AZE,Rhythmic Gymnastics,1996-03-03
1972426,GULIYEV Kamil,M,Coach,AZE,Rhythmic Gymnastics,1993-09-21
1972427,KARIMLI Akif,M,Coach,AZE,Rhythmic Gymnastics,1995-03-25
1972461,JAUMA CAYUELA Esther,F,Coach,NED,Artistic Swimming,1970-05-07
1972652,GIE Cheslyn,M,Head Coach,RSA,Hockey,1975-07-30
1972655,NTULI Siphesihle,M,Assistant Coach,RSA,Hockey,1989-01-29
1972933,GOMEZ Ibai,M,Head Coach,DOM,Football,1989-11-11
1972934,RAMOS SANCHEZ Antonio,M,Coach,CIV,Taekwondo,1976-08-18
1972992,AMOREBIETA Fernando,M,Assistant Coach,DOM,Football,1985-03-29
1973058,BRITEZ Cristhian,M,Goalkeeper Coach,DOM,Football,1984-09-25
1973138,BALAN Adrian,M,Coach,CAN,Artistic Gymnastics,1971-05-04
1973147,COWAN Lisa,F,Coach,CAN,Artistic Gymnastics,1969-08-03
1973162,KIKUCHI David,M,Coach,CAN,Artistic Gymnastics,1979-12-27
1973180,van HOOF Ed,M,Coach,CAN,Artistic Gymnastics,1956-08-22
1973374,FALSETTA Ross,M,Coach,GBR,Artistic Gymnastics,1985-10-02
1973377,DENG Ajou,M,Assistant Coach,SSD,Basketball,1978-12-24
1973378,WIGNALL Rachel,F,Coach,GBR,Artistic Gymnastics,1989-08-07
1973524,MEIJER Eric,M,Assistant Coach,NED,Volleyball,1989-09-26
1973525,KOSLOWSKI Felix,M,Head Coach,NED,Volleyball,1984-03-18
1973532,FERRER CUTINO Gil,M,Assistant Coach,NED,Volleyball,1971-10-11
1973576,IVEY Royal,M,Coach,SSD,Basketball,1981-12-20
1973651,KOUDI Mandela,M,Coach,SSD,Basketball,1991-11-21
1973693,CHIEJINE Ann,F,Assistant Coach,NGR,Football,1974-02-02
1974021,KULESZA Kasia,F,Coach,CAN,Artistic Swimming,1976-08-29
1974022,MORGAN Kerri,F,Coach,CAN,Artistic Swimming,1971-06-04
1974025,VOLOSHYNA Anna,F,Coach,CAN,Artistic Swimming,1991-09-26
1974026,YAKHNO Yelyzaveta,F,Coach,CAN,Artistic Swimming,1998-06-04
1974386,SAWADOGO Rasmane,M,Coach,BUR,Taekwondo,1965-06-25
1974755,BAUR Steve,M,Assistant Coach,CAN,Basketball,1979-03-31
1974756,BJORKGREN Nate,M,Assistant Coach,CAN,Basketball,1975-06-20
1974757,CLARKE Carly,F,Coach,CAN,Basketball,1983-03-07
1974760,FERNANDEZ Jordi,M,Coach,CAN,Basketball,1982-12-27
1974766,LAPENA Victor,M,Coach,CAN,Basketball,1975-03-12
1974769,MITCHELL Nathaniel,M,Assistant Coach,CAN,Basketball,1986-06-27
1974771,N'DONG Boniface,M,Coach,CAN,Basketball,1977-09-03
1974772,PAGE Murriel,F,Coach,CAN,Basketball,1975-09-18
1974773,QUINN Noelle,F,Assistant Coach,CAN,Basketball,1985-01-03
1975398,DENG Luol,M,Assistant Coach,SSD,Basketball,1985-04-16
1975920,CASTANEDA Allen Aldrin,M,Coach,PHI,Artistic Gymnastics,1972-07-20
1975923,HRYBANOV Andrii,M,Coach,ISR,Artistic Gymnastics,1970-10-01
1975934,GRIFFETH Garrett Stephen,M,Coach,PHI,Artistic Gymnastics,1986-08-13
1977071,ABAD EXPOSITO Iker Miquel,M,Coach,IRL,Taekwondo,2004-07-24
1977388,WALDRUM Randy,M,Head Coach,NGR,Football,1956-09-25
1977689,DIAWARA Kaba,M,Head Coach,GUI,Football,1975-12-16
1978161,CAPELLI Claudio,M,Coach,SUI,Artistic Gymnastics,1986-11-16
1978215,GUELZEC Laurent,M,Coach,SUI,Artistic Gymnastics,1971-04-22
1978259,KISTLER Frank,M,Coach,SUI,Artistic Gymnastics,1984-10-08
1978688,MUNOZ BENITEZ Fernando,M,Head Coach,EGY,Volleyball,1970-07-27
1980774,KIM Myong Hwa,F,Coach,PRK,Artistic Gymnastics,1971-03-02
1980904,TRAJKOVIC Ivan Konrad,M,Coach,SLO,Taekwondo,1991-09-01
1980943,PAVLIC Aljaz,M,Assistant Coach,SLO,Handball,1979-01-18
1980962,MIJATOVIC Branka,F,Assistant Coach,SLO,Handball,1973-07-19
1980979,ADZIC Dragan,M,Head Coach,SLO,Handball,1969-12-13
1980981,DROZHANOVA Elena,F,Coach,SLO,Rhythmic Gymnastics,1976-06-24
1980987,CRETU Gheorghe,M,Head Coach,SLO,Volleyball,1968-08-08
1980990,DIVKOVIC Goran,M,Coach,SLO,Taekwondo,1973-01-23
1981325,ZVIZEJ Luka,M,Assistant Coach,SLO,Handball,1980-12-09
1981356,de CECCO Matteo,M,Assistant Coach,SLO,Volleyball,1969-01-23
1981649,RETELJ Natasa,F,Coach,SLO,Artistic Gymnastics,1977-09-12
1981689,ZORMAN Uros,M,Head Coach,SLO,Handball,1980-01-09
1981697,KEDACIC Zoran,M,Assistant Coach,SLO,Volleyball,1984-04-06
1986732,MUGANGUZI Wani,M,Assistant Coach,NGR,Basketball,1990-06-26
2041085,FITZGERALD David,M,Coach,IRL,Hockey,1986-10-08
2476695,BAM Jenna,F,Head Coach,RSA,Rugby Sevens,1996-12-10
3057892,FALAHATGAR ETMINANI Davoud,M,Coach,BUL,Taekwondo,1980-06-21
3430822,PETROVIC Aleksandar,M,Coach,BRA,Basketball,1959-02-16
3496078,GORIATCHKINE Ivan,M,Coach,PHI,Artistic Gymnastics,1995-03-25
3520243,BASILE Leonardo,M,Coach,EOR,Taekwondo,1983-05-12
3528052,VICTOR John,M,Coach,NGR,Taekwondo,1977-05-22
3538853,DONNELLY Peter,M,Assistant Coach,IRL,Rugby Sevens,1983-01-12
3539442,CARSON Luke,M,Coach,IRL,Artistic Gymnastics,1989-10-23
3544158,GORBACHEV Stepan,M,Coach,UKR,Artistic Gymnastics,1983-10-02
3545804,MARAJAN Sabit,M,Coach,SSD,Taekwondo,1958-01-01
3546458,DIAWARA Fousseni,M,Assistant Coach,GUI,Football,1980-08-28
3546645,CAUKAUNIVALU Setefano,M,Assistant Coach,FIJ,Rugby Sevens,1978-09-03
3561918,GRANDES Pablo,M,Assistant Coach,IRQ,Football,1986-10-14
4043244,FONG Lerissa,F,Head Coach,SAM,Rugby Sevens,1982-05-13
4043245,POMARE Sapani,M,Head Coach,SAM,Rugby Sevens,1969-10-25
